2023-05-09 16:17:29,976 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27733.21, 'as': 0.03606, 't': Timestamp(seconds=1683667050, nanoseconds=33160257)}
2023-05-09 16:17:30,898 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27733.21, 's': 0.03606, 't': Timestamp(seconds=1683667050, nanoseconds=945000000), 'i': 16586150, 'tks': 'B'}
2023-05-09 16:17:30,898 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27735.36, 's': 0.08403, 't': Timestamp(seconds=1683667050, nanoseconds=945000000), 'i': 16586151, 'tks': 'B'}
2023-05-09 16:17:30,899 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27735.36, 'as': 0.08366, 't': Timestamp(seconds=1683667050, nanoseconds=953027707)}
2023-05-09 16:17:30,912 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27735.21, 'as': 0.19, 't': Timestamp(seconds=1683667050, nanoseconds=968503828)}
2023-05-09 16:17:30,940 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.21, 'as': 0.19, 't': Timestamp(seconds=1683667050, nanoseconds=996701444)}
2023-05-09 16:17:31,110 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.2, 'as': 0.17147, 't': Timestamp(seconds=1683667051, nanoseconds=166240958)}
2023-05-09 16:17:31,121 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27734.93, 'as': 0.19, 't': Timestamp(seconds=1683667051, nanoseconds=177159776)}
2023-05-09 16:17:31,126 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.2, 'as': 0.17147, 't': Timestamp(seconds=1683667051, nanoseconds=182556829)}
2023-05-09 16:17:31,128 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.07, 'as': 0.06981, 't': Timestamp(seconds=1683667051, nanoseconds=184437256)}
2023-05-09 16:17:31,132 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27734.82, 'as': 0.19, 't': Timestamp(seconds=1683667051, nanoseconds=188109213)}
2023-05-09 16:17:31,132 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.07, 'as': 0.06981, 't': Timestamp(seconds=1683667051, nanoseconds=188151663)}
2023-05-09 16:17:31,139 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.06, 'as': 0.15091, 't': Timestamp(seconds=1683667051, nanoseconds=190135867)}
2023-05-09 16:17:31,149 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.43, 'as': 0.19, 't': Timestamp(seconds=1683667051, nanoseconds=194914327)}
2023-05-09 16:17:31,149 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.06, 'as': 0.15091, 't': Timestamp(seconds=1683667051, nanoseconds=194966942)}
2023-05-09 16:17:31,150 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.01, 'as': 0.19, 't': Timestamp(seconds=1683667051, nanoseconds=198861044)}
2023-05-09 16:17:31,151 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.06, 'as': 0.15091, 't': Timestamp(seconds=1683667051, nanoseconds=200231407)}
2023-05-09 16:17:31,153 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.52, 'as': 0.01359, 't': Timestamp(seconds=1683667051, nanoseconds=200418722)}
2023-05-09 16:17:31,153 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.01, 'as': 0.19, 't': Timestamp(seconds=1683667051, nanoseconds=206785739)}
2023-05-09 16:17:31,154 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27736.52, 'as': 0.01359, 't': Timestamp(seconds=1683667051, nanoseconds=208989616)}
2023-05-09 16:17:31,158 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.13743, 'ap': 27735.0, 'as': 0.17987, 't': Timestamp(seconds=1683667051, nanoseconds=214450644)}
