symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-10 07:59:00+00:00,1841.18,1841.18,1840.09,1841.09,8.1314,18.0,1840.2527971813
ETH/USD,2023-05-10 08:00:00+00:00,1840.39,1841.56,1840.13,1841.56,13.0941,62.0,1840.9941944082
ETH/USD,2023-05-10 08:01:00+00:00,1841.31,1841.58,1841.11,1841.58,2.8293,6.0,1841.1680468667
ETH/USD,2023-05-10 08:02:00+00:00,1841.33,1841.41,1841.33,1841.41,2.7072,4.0,1841.3403354019
ETH/USD,2023-05-10 08:03:00+00:00,1840.7,1841.17,1840.7,1841.17,1.0653,2.0,1841.05295222
ETH/USD,2023-05-10 08:04:00+00:00,1841.46,1841.46,1840.71,1840.71,0.179,3.0,1841.1522346369
ETH/USD,2023-05-10 08:05:00+00:00,1840.7,1840.7,1838.0,1839.65,73.2086,107.0,1839.9566482626
ETH/USD,2023-05-10 08:06:00+00:00,1839.39,1839.39,1838.0,1839.31,0.8223,9.0,1838.1264015566
ETH/USD,2023-05-10 08:07:00+00:00,1840.14,1840.47,1839.16,1839.17,1.8269,7.0,1839.5642821172
ETH/USD,2023-05-10 08:08:00+00:00,1840.48,1840.48,1840.48,1840.48,0.0815,1.0,1840.48
ETH/USD,2023-05-10 08:09:00+00:00,1840.2,1840.48,1840.2,1840.48,0.1081,2.0,1840.2209805735
ETH/USD,2023-05-10 08:10:00+00:00,1840.48,1841.1,1840.48,1841.1,47.8558,20.0,1840.4948496107
ETH/USD,2023-05-10 08:11:00+00:00,1841.41,1841.41,1841.01,1841.04,1.9854,5.0,1841.0981787045
ETH/USD,2023-05-10 08:12:00+00:00,1839.5,1840.45,1839.5,1840.45,1.2473,3.0,1839.6600136294
ETH/USD,2023-05-10 08:13:00+00:00,1840.45,1840.45,1840.45,1840.45,0.006,1.0,1840.45
ETH/USD,2023-05-10 08:45:00+00:00,1839.63,1839.63,1839.63,1839.63,0.0826,1.0,1839.63
ETH/USD,2023-05-10 08:46:00+00:00,1839.08,1839.55,1839.07,1839.48,1.1257,4.0,1839.1021915253
ETH/USD,2023-05-10 08:47:00+00:00,1839.07,1839.07,1838.44,1838.69,1.9513,7.0,1838.771527187
ETH/USD,2023-05-10 08:48:00+00:00,1839.4,1839.4,1839.4,1839.4,0.0005,1.0,1839.4
ETH/USD,2023-05-10 08:49:00+00:00,1839.18,1839.26,1839.18,1839.26,2.05,3.0,1839.2248780488
ETH/USD,2023-05-10 08:51:00+00:00,1838.71,1839.9,1838.71,1839.64,0.8541,4.0,1838.7909284627
ETH/USD,2023-05-10 08:54:00+00:00,1840.65,1841.41,1840.65,1841.41,4.2271,7.0,1841.2513193442
ETH/USD,2023-05-10 08:55:00+00:00,1841.2,1842.6,1841.2,1842.6,3.9428,10.0,1842.0136811403
